Title,Artist,Genres,Album,Duration,Img
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,3:20,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Shape of You,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",÷ (Deluxe),3:53,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']",Divinely Uninspired To A Hellish Extent,3:02,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2:38,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f
Dance Monkey,Tones And I,['australian pop'],Dance Monkey (Stripped Back) / Dance Monkey,3:29,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169
One Dance,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Views,2:53,https://i.scdn.co/image/ab67616d0000b273726abca207567d5e41cb9667
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU,2:21,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960
As It Was,Harry Styles,['pop'],Harry's House,2:47,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Starboy,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Starboy,3:50,https://i.scdn.co/image/ab67616d0000b2730c8599cbde51245c128bcea9
rockstar,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",rockstar,3:38,https://i.scdn.co/image/ab67616d0000b273345f823b6c1dbd3b4cc7b382
